trial,F_hat,F_true,mean_alpha,error
0,0.011262292200157564,0.011067419228096353,0.5962979094263735,0.00019487297206121149
1,0.011379036717829694,0.01205979048977855,0.6016595092329082,-0.0006807537719488565
2,0.010889271390357502,0.011631109270819756,0.5974949539034794,-0.0007418378804622539
3,0.011997102886120548,0.011581103729141567,0.5999280567078871,0.0004159991569789804
4,0.011787183567842474,0.011454665741282127,0.6001508863432875,0.00033251782656034713
5,0.011838727721345588,0.011484113713545,0.603299735139796,0.0003546140078005879
6,0.011152493254565854,0.011496929077439412,0.5998601674294536,-0.00034443582287355806
7,0.011836769143770465,0.011501869225409063,0.6000958076256205,0.00033489991836140216
8,0.011595279652174939,0.011242935474831803,0.6026120217638133,0.00035234417734313593
9,0.010740536378320231,0.011579959001025483,0.5968989282713028,-0.0008394226227052513
10,0.010793415419907526,0.011362586832321636,0.5980437111730833,-0.0005691714124141101
11,0.010769956913310508,0.011319989788918752,0.5998392770104258,-0.0005500328756082445
12,0.011496914898351418,0.011383243192179307,0.5984578343927205,0.00011367170617211132
13,0.011787259368091385,0.012164667364302835,0.5975476596100936,-0.0003774079962114499
14,0.011426895970666762,0.012016702078864988,0.5959609081855287,-0.0005898061081982264
15,0.010949393122090367,0.011026397666258948,0.5972812568578445,-7.70045441685803e-05
16,0.011986076786503153,0.012071060024607345,0.5953151985170404,-8.498323810419289e-05
17,0.011808942699046143,0.012204061180361976,0.6026231451516435,-0.00039511848131583253
18,0.012309836117655626,0.01140892055826324,0.6001058081927352,0.0009009155593923852
19,0.010288263949893295,0.011039919165558888,0.5932174789165294,-0.0007516552156655934
20,0.011739898017305073,0.010959694148960782,0.6057342673234127,0.0007802038683442907
21,0.011256689127704,0.011307519317278079,0.6004925322711899,-5.083018957407863e-05
22,0.01145204301054259,0.011626315166729028,0.601419161248903,-0.0001742721561864384
23,0.012212324203306368,0.011683980135575294,0.6036972360903972,0.0005283440677310743
24,0.01057060849918412,0.011359632266962795,0.5997681950195458,-0.0007890237677786755
25,0.011778367667956924,0.01147299830586067,0.5988614041199826,0.0003053693620962538
26,0.011344078147314585,0.011741102149505103,0.5992590186106602,-0.0003970240021905179
27,0.011533747200591249,0.01185476099865484,0.5972465109160625,-0.0003210137980635911
28,0.012456583949737032,0.012043548403240302,0.599911278513837,0.00041303554649673065
29,0.011146063155695829,0.011436853995932573,0.5978014048302092,-0.00029079084023674387
30,0.011832178989570397,0.011508924775867907,0.5997328321223213,0.00032325421370249
31,0.010979390227497887,0.011732202607076003,0.6017194663152892,-0.0007528123795781157
32,0.010586389165474885,0.011335871812684651,0.5994602734178704,-0.0007494826472097659
33,0.012137961606181136,0.012092270221506815,0.6001306784599612,4.5691384674320656e-05
34,0.011177149263265795,0.01137252978017493,0.599849176617313,-0.00019538051690913376
35,0.011418320992653608,0.011488255982101571,0.5990228203863738,-6.993498944796346e-05
36,0.011509161728671835,0.011705011347193558,0.6010633346294407,-0.0001958496185217231
37,0.011561697856867004,0.011796257426728086,0.5980212231438755,-0.00023455956986108244
38,0.011962212267928374,0.01153000084727826,0.6056288145575948,0.00043221142065011375
39,0.01195725261509284,0.011522891503715108,0.5997365799123572,0.0004343611113777311
40,0.012438362121458935,0.011972860547746874,0.6000913506253094,0.0004655015737120606
41,0.010946363696591244,0.01062868272502697,0.6005635858488154,0.0003176809715642742
42,0.011105773132912278,0.010974634538102969,0.6002173982007206,0.00013113859480930884
43,0.011456910804822806,0.01104398430769057,0.6007031742236422,0.00041292649713223564
44,0.011148154375827057,0.010953682024975967,0.5994818660100089,0.0001944723508510906
45,0.011898227954072804,0.011150100671116953,0.5999904422472334,0.0007481272829558509
46,0.010980350085577129,0.011039137589867298,0.6014632233020047,-5.878750429016977e-05
47,0.011978039785391636,0.01133762068280186,0.5972821550230654,0.0006404191025897767
48,0.011672483450646698,0.011442535165162847,0.5985190953668091,0.00022994828548385075
49,0.012036875686457171,0.011595714871723015,0.5999544379539827,0.00044116081473415635
50,0.011241157183934758,0.011325087378746055,0.5971738482689993,-8.393019481129672e-05
51,0.011835609147819948,0.011291849834203673,0.5989043704987771,0.0005437593136162749
52,0.011206052922504595,0.011446719626179505,0.5999611336114784,-0.0002406667036749105
53,0.011807946059723406,0.011421486954277622,0.6044004474874993,0.0003864591054457845
54,0.010945319055697234,0.01166036940369413,0.5963998160686713,-0.000715050347996897
55,0.011195110376508832,0.011396103311751516,0.5987924875941242,-0.00020099293524268418
56,0.01164266561834354,0.01162770583418916,0.6026467260706408,1.4959784154378736e-05
57,0.010958211039113375,0.010917190379568125,0.599396257972188,4.1020659545249263e-05
58,0.011523595908337236,0.011321474961365218,0.5970282803251238,0.00020212094697201824
59,0.011442597227923457,0.011503820522701854,0.599382479047967,-6.122329477839701e-05
60,0.01087981827985568,0.010988606242077124,0.5971495818377912,-0.00010878796222144396
61,0.010522407530630218,0.011022915772896472,0.5992431436228973,-0.0005005082422662541
62,0.012477244324026915,0.011897453357802028,0.595261369889979,0.0005797909662248867
63,0.012380961208931118,0.011854409078572619,0.597448029620696,0.0005265521303584996
64,0.01081606343116115,0.01146735729287086,0.6037663515153617,-0.0006512938617097112
65,0.010769247968238138,0.010955629393436493,0.597431892307621,-0.00018638142519835504
66,0.011402585522852227,0.011539506422708807,0.5991289438470399,-0.00013692089985658032
67,0.011084593266895593,0.01132993571079853,0.5990455293593172,-0.0002453424439029378
68,0.011564997547286737,0.011243371243601207,0.6037392691644645,0.00032162630368553005
69,0.011255932606550278,0.011654347405667575,0.5999879821738258,-0.00039841479911729635
70,0.01168661958247269,0.011339070490150241,0.6032658372680062,0.0003475490923224491
71,0.01185050868743348,0.011682861558834152,0.5975600165125099,0.00016764712859932904
72,0.011199696590987018,0.011310054947350328,0.6020175539724844,-0.00011035835636331003
73,0.011987494424505585,0.011584291301359427,0.5999444256272357,0.00040320312314615775
74,0.011923548136845652,0.011115346808236571,0.5984859252641244,0.0008082013286090806
